Time[s], Channel 0, Channel 1
0.000000000000000, 1, 1
0.328637000000000, 1, 0
2.107238500000000, 1, 1
2.107322000000000, 1, 0
2.107348000000000, 1, 1
2.157574000000000, 1, 0
2.157600000000000, 1, 1
2.157652500000000, 1, 0
2.157678500000000, 1, 1
2.157731500000000, 1, 0
2.157810000000000, 1, 1
2.157842000000000, 1, 0
2.157947000000000, 1, 1
2.158025500000000, 1, 0
2.158078000000000, 1, 1
2.158110000000000, 1, 0
2.158347000000000, 1, 1
2.158378500000000, 1, 0
2.158615500000000, 1, 1
2.160952500000000, 1, 0
2.160978000000000, 1, 1
2.161030500000000, 1, 0
2.161057000000000, 1, 1
2.161109500000000, 1, 0
2.161188500000000, 1, 1
2.161220000000000, 1, 0
2.161404000000000, 1, 1
2.161430500000000, 1, 0
2.161456500000000, 1, 1
2.162642500000000, 1, 0
2.162668500000000, 1, 1
2.162721000000000, 1, 0
2.162747000000000, 1, 1
2.162799500000000, 1, 0
2.162878500000000, 1, 1
2.162910500000000, 1, 0
2.162989000000000, 1, 1
2.163015500000000, 1, 0
2.163094000000000, 1, 1
2.163120500000000, 1, 0
2.163146500000000, 1, 1
2.164333500000000, 1, 0
2.164412000000000, 1, 1
2.164438500000000, 1, 0
2.164570000000000, 1, 1
2.164608000000000, 1, 0
2.164713000000000, 1, 1
2.164739000000000, 1, 0
2.164844500000000, 1, 1
2.164876500000000, 1, 0
2.164955000000000, 1, 1
2.165007500000000, 1, 0
2.165112500000000, 1, 1
2.165144500000000, 1, 0
2.165276000000000, 1, 1
2.165302000000000, 1, 0
2.165381000000000, 1, 1
2.167711500000000, 1, 0
2.167790000000000, 1, 1
2.167816000000000, 1, 0
2.167842500000000, 1, 1
2.167869000000000, 1, 0
2.167947500000000, 1, 1
2.167979500000000, 1, 0
2.168084500000000, 1, 1
2.168137000000000, 1, 0
2.168216000000000, 1, 1
2.168248000000000, 1, 0
2.168326500000000, 1, 1
2.168405000000000, 1, 0
2.168484000000000, 1, 1
2.168516000000000, 1, 0
2.168752500000000, 1, 1
2.171090000000000, 1, 0
2.171115500000000, 1, 1
2.171168000000000, 1, 0
2.171194500000000, 1, 1
2.171247000000000, 1, 0
2.171325500000000, 1, 1
2.171357500000000, 1, 0
2.171383500000000, 1, 1
2.171462000000000, 1, 0
2.171488500000000, 1, 1
2.171541000000000, 1, 0
2.171593500000000, 1, 1
2.172778000000000, 1, 0
2.172804000000000, 1, 1
2.172856500000000, 1, 0
2.172882500000000, 1, 1
2.172909000000000, 1, 0
2.173014500000000, 1, 1
2.173046000000000, 1, 0
2.173151000000000, 1, 1
2.173256000000000, 1, 0
2.173282000000000, 1, 1
2.173314000000000, 1, 0
2.173419000000000, 1, 1
2.173445500000000, 1, 0
2.173471500000000, 1, 1
2.173498000000000, 1, 0
2.173550500000000, 1, 1
3.172893500000000, 1, 0
3.172919500000000, 1, 1
3.172972000000000, 1, 0
3.172998000000000, 1, 1
3.173051000000000, 1, 0
3.173129500000000, 1, 1
3.173161500000000, 1, 0
3.173187500000000, 1, 1
3.173214000000000, 1, 0
3.173319000000000, 1, 1
3.173345500000000, 1, 0
3.173398000000000, 1, 1
3.173430000000000, 1, 0
3.173561000000000, 1, 1
3.173587500000000, 1, 0
3.173666500000000, 1, 1
3.175429500000000, 1, 0
3.175455500000000, 1, 1
3.175508000000000, 1, 0
3.175534500000000, 1, 1
3.175587000000000, 1, 0
3.175665500000000, 1, 1
3.175703500000000, 1, 0
3.175729500000000, 1, 1
3.175756000000000, 1, 0
3.175861000000000, 1, 1
3.175887500000000, 1, 0
3.175940000000000, 1, 1
3.175972000000000, 1, 0
3.176103000000000, 1, 1
3.176155500000000, 1, 0
3.176208500000000, 1, 1
3.177969000000000, 1, 0
3.178047500000000, 1, 1
3.178074000000000, 1, 0
3.178100000000000, 1, 1
3.178126500000000, 1, 0
3.178152500000000, 1, 1
3.178179000000000, 1, 0
3.178205000000000, 1, 1
3.178819000000000, 1, 0
3.178845000000000, 1, 1
3.178949500000000, 1, 0
3.179002000000000, 1, 1
3.179028500000000, 1, 0
3.179054500000000, 1, 1
3.179672500000000, 1, 0
3.179751000000000, 1, 1
3.179777500000000, 1, 0
3.179803500000000, 1, 1
3.179830000000000, 1, 0
3.179856000000000, 1, 1
3.179882500000000, 1, 0
3.179908500000000, 1, 1
3.180520000000000, 1, 0
3.180546000000000, 1, 1
3.180572500000000, 1, 0
3.180704000000000, 1, 1
3.180730500000000, 1, 0
3.180756500000000, 1, 1
3.181378000000000, 1, 0
3.181456500000000, 1, 1
3.181509000000000, 1, 0
3.181561500000000, 1, 1
3.181588000000000, 1, 0
3.181614000000000, 1, 1
3.182228500000000, 1, 0
3.182386000000000, 1, 1
3.182412500000000, 1, 0
3.182465000000000, 1, 1
3.183078500000000, 1, 0
3.183236500000000, 1, 1
3.183262500000000, 1, 0
3.183315000000000, 1, 1
3.183933000000000, 1, 0
3.184011500000000, 1, 1
3.184038000000000, 1, 0
3.184090500000000, 1, 1
3.184116500000000, 1, 0
3.184169000000000, 1, 1
3.184783500000000, 1, 0
3.184941000000000, 1, 1
3.184967500000000, 1, 0
3.185020000000000, 1, 1
3.185635500000000, 1, 0
3.185661000000000, 1, 1
3.185713500000000, 1, 0
3.185766000000000, 1, 1
3.185819000000000, 1, 0
3.185871500000000, 1, 1
3.186493000000000, 1, 0
3.186571500000000, 1, 1
3.186598000000000, 1, 0
3.186624000000000, 1, 1
3.186676500000000, 1, 0
3.186729000000000, 1, 1
3.187346500000000, 1, 0
3.187372500000000, 1, 1
3.187399000000000, 1, 0
3.187425000000000, 1, 1
3.187451500000000, 1, 0
3.187477500000000, 1, 1
3.187530000000000, 1, 0
3.187582500000000, 1, 1
3.188198000000000, 1, 0
3.188250000000000, 1, 1
3.188276500000000, 1, 0
3.188302500000000, 1, 1
3.188329000000000, 1, 0
3.188434500000000, 1, 1
4.640615500000000, 1, 0
4.640641000000000, 1, 1
4.640694000000000, 1, 0
4.640720000000000, 1, 1
4.640772500000000, 1, 0
4.640851500000000, 1, 1
4.640889500000000, 1, 0
4.640915000000000, 1, 1
4.640941499999999, 1, 0
4.641046999999999, 1, 1
4.641073000000000, 1, 0
4.641125499999999, 1, 1
4.641157499999999, 1, 0
4.641289000000000, 1, 1
4.641315000000000, 1, 0
4.641394000000000, 1, 1
4.643154000000000, 1, 0
4.643179500000000, 1, 1
4.643231999999999, 1, 0
4.643258500000000, 1, 1
4.643311000000000, 1, 0
4.643389500000000, 1, 1
4.643421500000000, 1, 0
4.643447500000000, 1, 1
4.643473999999999, 1, 0
4.643579000000000, 1, 1
4.643605500000000, 1, 0
4.643657999999999, 1, 1
4.643689999999999, 1, 0
4.643926500000000, 1, 1
4.645690999999999, 1, 0
4.645796000000000, 1, 1
4.645822000000000, 1, 0
4.645848500000000, 1, 1
4.645874500000000, 1, 0
4.645926999999999, 1, 1
4.646541000000000, 1, 0
4.646619500000000, 1, 1
4.646646000000000, 1, 0
4.646672000000000, 1, 1
4.646698499999999, 1, 0
4.646724499999999, 1, 1
4.646751000000000, 1, 0
4.646777000000000, 1, 1
4.647391000000000, 1, 0
4.647443000000000, 1, 1
4.647469500000000, 1, 0
4.647521999999999, 1, 1
4.647601000000000, 1, 0
4.647627000000000, 1, 1
4.648240500000000, 1, 0
4.648266500000000, 1, 1
4.648293000000000, 1, 0
4.648319000000000, 1, 1
4.648345500000000, 1, 0
4.648397999999999, 1, 1
4.648450500000000, 1, 0
4.648476500000000, 1, 1
4.649094499999999, 1, 0
4.649120000000000, 1, 1
4.649173000000000, 1, 0
4.649225500000000, 1, 1
4.649304000000000, 1, 0
4.649330000000000, 1, 1
4.649945499999999, 1, 0
4.649971499999999, 1, 1
4.650024000000000, 1, 0
4.650103000000000, 1, 1
4.650155499999999, 1, 0
4.650181500000000, 1, 1
4.650803000000000, 1, 0
4.650829000000000, 1, 1
4.650855500000000, 1, 0
4.650907999999999, 1, 1
4.650934500000000, 1, 0
4.650960500000000, 1, 1
4.651013000000000, 1, 0
4.651039000000000, 1, 1
4.651657000000000, 1, 0
4.651682500000000, 1, 1
4.651708999999999, 1, 0
4.651735000000000, 1, 1
4.651761500000000, 1, 0
4.651814000000000, 1, 1
4.651866500000000, 1, 0
4.651892999999999, 1, 1
4.652506499999999, 1, 0
4.652559000000000, 1, 1
4.652637500000000, 1, 0
4.652664000000000, 1, 1
4.652716499999999, 1, 0
4.652742500000000, 1, 1
4.653356500000000, 1, 0
4.653435000000000, 1, 1
4.653461000000000, 1, 0
4.653487500000000, 1, 1
4.653566000000000, 1, 0
4.653592000000000, 1, 1
4.654205999999999, 1, 0
4.654231999999999, 1, 1
4.654337000000000, 1, 0
4.654363000000000, 1, 1
4.654415500000000, 1, 0
4.654441500000000, 1, 1
4.655057000000000, 1, 0
4.655082999999999, 1, 1
4.655135500000000, 1, 0
4.655188000000000, 1, 1
4.655266500000000, 1, 0
4.655292999999999, 1, 1
4.655910500000000, 1, 0
4.656067999999999, 1, 1
4.656094500000000, 1, 0
4.656147000000000, 1, 1
4.656765000000000, 1, 0
4.656790500000000, 1, 1
4.656842999999999, 1, 0
4.656948499999999, 1, 1
4.656974500000000, 1, 0
4.657001000000000, 1, 1
4.657614500000000, 1, 0
4.657640499999999, 1, 1
4.657667000000000, 1, 0
4.657693000000000, 1, 1
4.657719500000000, 1, 0
4.657745500000000, 1, 1
4.657824499999999, 1, 0
4.657850499999999, 1, 1
4.658464500000000, 1, 0
4.658490500000000, 1, 1
4.658517000000000, 1, 0
4.658621999999999, 1, 1
4.658674500000000, 1, 0
4.658701000000000, 1, 1
4.659314500000000, 1, 0
4.659367000000000, 1, 1
4.659393000000000, 1, 0
4.659445499999999, 1, 1
4.659524500000000, 1, 0
4.659550500000000, 1, 1
4.660165999999999, 1, 0
4.660191999999999, 1, 1
4.660218000000000, 1, 0
4.660244500000000, 1, 1
4.660271000000000, 1, 0
4.660323500000000, 1, 1
4.660375999999999, 1, 0
4.660401999999999, 1, 1
4.661023500000000, 1, 0
4.661075500000000, 1, 1
4.661154499999999, 1, 0
4.661180500000000, 1, 1
4.661233000000000, 1, 0
4.661259500000000, 1, 1
4.661877000000000, 1, 0
4.661955499999999, 1, 1
4.661982000000000, 1, 0
4.662008000000000, 1, 1
4.662087000000000, 1, 0
4.662113000000000, 1, 1
4.662726999999999, 1, 0
4.662752500000000, 1, 1
4.662779000000000, 1, 0
4.662884000000000, 1, 1
4.662936500000000, 1, 0
4.662963000000000, 1, 1
4.663577000000000, 1, 0
4.663734499999999, 1, 1
4.663761000000000, 1, 0
4.663813500000000, 1, 1
4.664431000000000, 1, 0
4.664457000000000, 1, 1
4.664483500000000, 1, 0
4.664536000000000, 1, 1
4.664641000000000, 1, 0
4.664667000000000, 1, 1
4.665282500000000, 1, 0
4.665439999999999, 1, 1
4.665466500000000, 1, 0
4.665519000000000, 1, 1
4.666141000000000, 1, 0
4.666166500000000, 1, 1
4.666219500000000, 1, 0
4.666324500000000, 1, 1
4.666351000000000, 1, 0
4.666377000000000, 1, 1
4.666990999999999, 1, 0
4.667016500000000, 1, 1
4.667043000000000, 1, 0
4.667095499999999, 1, 1
4.667122000000000, 1, 0
4.667148000000000, 1, 1
4.667200500000000, 1, 0
4.667227000000000, 1, 1
4.667845000000000, 1, 0
4.667897000000000, 1, 1
4.667975500000000, 1, 0
4.668002000000000, 1, 1
4.668054500000000, 1, 0
4.668080499999999, 1, 1
4.668694500000000, 1, 0
4.668720000000000, 1, 1
4.668773000000000, 1, 0
4.668851500000000, 1, 1
4.668903999999999, 1, 0
4.668930500000000, 1, 1
4.669548000000000, 1, 0
4.669574000000000, 1, 1
4.669678500000000, 1, 0
4.669705000000000, 1, 1
4.669757500000000, 1, 0
4.669783499999999, 1, 1
4.670399000000000, 1, 0
4.670556500000000, 1, 1
4.670583000000000, 1, 0
4.670635499999999, 1, 1
4.671257000000000, 1, 0
4.671388500000000, 1, 1
4.671415000000000, 1, 0
4.671441000000000, 1, 1
4.671467499999999, 1, 0
4.671493500000000, 1, 1
4.672107500000000, 1, 0
4.672133000000000, 1, 1
4.672159499999999, 1, 0
4.672185499999999, 1, 1
4.672212000000000, 1, 0
4.672264500000000, 1, 1
4.672317000000000, 1, 0
4.672343500000000, 1, 1
4.672961500000000, 1, 0
4.672987000000000, 1, 1
4.673039500000000, 1, 0
4.673092000000000, 1, 1
4.673171000000000, 1, 0
4.673197000000000, 1, 1
5.405893000000000, 1, 0
5.405919000000000, 1, 1
5.406023500000000, 1, 0
5.406050000000000, 1, 1
5.406102499999999, 1, 0
5.406128499999999, 1, 1
5.406742500000000, 1, 0
5.406768000000000, 1, 1
5.406821000000000, 1, 0
5.406873500000000, 1, 1
5.406952000000000, 1, 0
5.406978000000000, 1, 1
5.407592500000000, 1, 0
5.407750000000000, 1, 1
5.407776500000000, 1, 0
5.407829000000000, 1, 1
5.408442500000000, 1, 0
5.408574000000000, 1, 1
5.408626500000000, 1, 0
5.408678999999999, 1, 1
5.409294500000000, 1, 0
5.409425499999999, 1, 1
5.409478500000000, 1, 0
5.409530999999999, 1, 1
5.410152500000000, 1, 0
5.410178000000000, 1, 1
5.410283000000000, 1, 0
5.410309000000000, 1, 1
5.410335500000000, 1, 0
5.410388000000000, 1, 1
5.411009500000000, 1, 0
5.411035500000000, 1, 1
5.411061999999999, 1, 0
5.411140500000000, 1, 1
5.411193500000000, 1, 0
5.411245999999999, 1, 1
5.411860000000000, 1, 0
5.411991000000000, 1, 1
5.412043499999999, 1, 0
5.412096500000000, 1, 1
5.412710000000000, 1, 0
5.412841500000000, 1, 1
5.412894000000000, 1, 0
5.412946499999999, 1, 1
5.413559999999999, 1, 0
5.413717999999999, 1, 1
5.413743999999999, 1, 0
5.413796500000000, 1, 1
5.414412000000000, 1, 0
5.414438000000000, 1, 1
5.414464499999999, 1, 0
5.414490499999999, 1, 1
5.414543000000000, 1, 0
5.414595500000000, 1, 1
5.414622000000000, 1, 0
5.414648000000000, 1, 1
5.415266000000000, 1, 0
5.415318000000000, 1, 1
5.415397000000000, 1, 0
5.415423000000000, 1, 1
5.415449499999999, 1, 0
5.415502000000000, 1, 1
5.416123499999999, 1, 0
5.416175500000000, 1, 1
5.416254500000000, 1, 0
5.416307000000000, 1, 1
5.416333000000000, 1, 0
5.416359500000000, 1, 1
5.416973000000000, 1, 0
5.417025499999999, 1, 1
5.417104000000000, 1, 0
5.417129999999999, 1, 1
5.417156500000000, 1, 0
5.417209000000000, 1, 1
5.417827000000000, 1, 0
5.417852500000000, 1, 1
5.417879000000000, 1, 0
5.417931500000000, 1, 1
5.417958000000000, 1, 0
5.417984000000000, 1, 1
5.418010499999999, 1, 0
5.418063000000000, 1, 1
5.418678500000000, 1, 0
5.418730500000000, 1, 1
5.418756999999999, 1, 0
5.418782999999999, 1, 1
5.418809500000000, 1, 0
5.418914500000000, 1, 1
6.151610000000000, 1, 0
6.151741500000000, 1, 1
6.151768000000000, 1, 0
6.151794000000000, 1, 1
6.151820499999999, 1, 0
6.151846500000000, 1, 1
6.152464500000000, 1, 0
6.152516500000000, 1, 1
6.152543000000000, 1, 0
6.152595499999999, 1, 1
6.152674500000000, 1, 0
6.152700500000000, 1, 1
6.153314500000000, 1, 0
6.153340000000000, 1, 1
6.153366500000000, 1, 0
6.153392500000000, 1, 1
6.153419000000000, 1, 0
6.153471499999999, 1, 1
6.153524000000000, 1, 0
6.153550000000000, 1, 1
6.154165500000000, 1, 0
6.154191500000000, 1, 1
6.154243999999999, 1, 0
6.154323000000000, 1, 1
6.154375500000000, 1, 0
6.154401500000000, 1, 1
6.155019500000000, 1, 0
6.155044999999999, 1, 1
6.155071500000000, 1, 0
6.155124000000000, 1, 1
6.155150500000000, 1, 0
6.155176500000000, 1, 1
6.155228999999999, 1, 0
6.155255500000000, 1, 1
6.155869000000000, 1, 0
6.155895000000000, 1, 1
6.156000000000000, 1, 0
6.156026000000000, 1, 1
6.156078500000000, 1, 0
6.156104500000000, 1, 1
6.156718499999999, 1, 0
6.156876000000000, 1, 1
6.156902499999999, 1, 0
6.156955000000000, 1, 1
6.157572999999999, 1, 0
6.157598999999999, 1, 1
6.157625500000000, 1, 0
6.157651500000000, 1, 1
6.157678000000000, 1, 0
6.157704000000000, 1, 1
6.157730500000000, 1, 0
6.157756500000000, 1, 1
6.157782999999999, 1, 0
6.157808999999999, 1, 1
6.158423000000000, 1, 0
6.158475500000000, 1, 1
6.158554000000000, 1, 0
6.158580000000000, 1, 1
6.158606499999999, 1, 0
6.158659000000000, 1, 1
6.159274500000000, 1, 0
6.159432000000000, 1, 1
6.159458500000000, 1, 0
6.159510999999999, 1, 1
